pathogen,country,trailing_weeks,trailing_values,forecast_hw_weeks,forecast_hw_values,forecast_hw_threshold_pct,forecast_hw_high_risk_weeks,tda_n_anomalies,tda_H0_z,tda_H1_z,tda_status,tda_trend,tda_lead_weeks,tda_past_rising,tda_past_falling,tda_seasonal_iso_weeks,hw_last_obs_week,hw_residual_z,hw_surprised,pca_dist_z,pca_position,convergence,target_weeks,target_values,cutoff_week
Influenza,Norway,2024-W25|2024-W26|2024-W27|2024-W28|2024-W29|2024-W30,0.0|1.7|0.0|0.0|2.3|0.0,2024-W31|2024-W32|2024-W33|2024-W34|2024-W35|2024-W36|2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42,7.79|0.53|-1.62|0.86|-5.49|17.11|13.95|5.16|3.52|-14.51|-13.26|-11.39,30.82,,8,0.1,-0.36,normal,"H0_rising,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W30,-0.04,False,0.35,normal,0,2024-W31|2024-W32|2024-W33|2024-W34|2024-W35|2024-W36|2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42,7.1|2.0|0.0|1.7|1.7|2.9|1.4|0.0|0.0|1.1|0.0|0.0,2024-W30
Influenza,Norway,2024-W27|2024-W28|2024-W29|2024-W30|2024-W31|2024-W32,0.0|0.0|2.3|0.0|7.1|2.0,2024-W33|2024-W34|2024-W35|2024-W36|2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44,-0.55|2.13|-3.99|18.87|15.86|7.24|5.89|-11.96|-10.65|-8.75|-7.85|-7.18,30.48,,8,0.52,-0.36,normal,"H0_rising,H1_rising",7,4,4,1|26|46|47|49|50|51|52,2024-W32,0.15,False,0.65,normal,0,2024-W33|2024-W34|2024-W35|2024-W36|2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44,0.0|1.7|1.7|2.9|1.4|0.0|0.0|1.1|0.0|0.0|0.0|1.0,2024-W32
Influenza,Norway,2024-W29|2024-W30|2024-W31|2024-W32|2024-W33|2024-W34,2.3|0.0|7.1|2.0|0.0|1.7,2024-W35|2024-W36|2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46,-4.38|18.0|14.84|6.06|4.34|-13.58|-12.49|-10.74|-9.94|-9.33|-6.36|-10.66,29.82,,8,0.57,-0.36,normal,"H0_rising,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W34,-0.05,False,-0.09,normal,0,2024-W35|2024-W36|2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46,1.7|2.9|1.4|0.0|0.0|1.1|0.0|0.0|0.0|1.0|0.8|1.0,2024-W34
Influenza,Norway,2024-W31|2024-W32|2024-W33|2024-W34|2024-W35|2024-W36,7.1|2.0|0.0|1.7|1.7|2.9,2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48,5.29|-3.35|-4.93|-22.87|-21.71|-19.94|-19.11|-18.44|-15.39|-19.57|-17.23|-14.07,29.48,,8,1.12,-0.36,normal,"H0_rising,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W36,-1.61,False,-0.43,normal,0,2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48,1.4|0.0|0.0|1.1|0.0|0.0|0.0|1.0|0.8|1.0|1.0|1.3,2024-W36
Influenza,Norway,2024-W33|2024-W34|2024-W35|2024-W36|2024-W37|2024-W38,0.0|1.7|1.7|2.9|1.4|0.0,2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50,-3.38|-21.41|-20.27|-18.49|-17.67|-17.02|-13.99|-18.24|-15.94|-12.73|-7.33|3.33,29.42,,8,0.42,-0.36,normal,"H0_falling,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W38,0.51,False,-0.13,normal,0,2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50,0.0|1.1|0.0|0.0|0.0|1.0|0.8|1.0|1.0|1.3|4.5|3.2,2024-W38
Influenza,Norway,2024-W35|2024-W36|2024-W37|2024-W38|2024-W39|2024-W40,1.7|2.9|1.4|0.0|0.0|1.1,2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52,-3.11|-1.41|-0.6|-0.01|2.97|-1.27|1.04|4.25|9.68|20.37|21.61|35.13,29.0,2024-W52,8,-0.75,-0.36,normal,"H0_falling,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W40,1.62,False,-0.27,normal,2,2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52,0.0|0.0|0.0|1.0|0.8|1.0|1.0|1.3|4.5|3.2|7.5|7.7,2024-W40
Influenza,Norway,2024-W37|2024-W38|2024-W39|2024-W40|2024-W41|2024-W42,1.4|0.0|0.0|1.1|0.0|0.0,2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02,0.99|1.69|4.8|0.43|2.47|5.51|10.91|21.67|23.0|36.46|14.11|19.04,28.2,2024-W52,8,-1.15,-0.36,normal,"H0_falling,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W42,-0.07,False,-0.26,normal,2,2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02,0.0|1.0|0.8|1.0|1.0|1.3|4.5|3.2|7.5|7.7|18.5|11.9,2024-W42
Influenza,Norway,2024-W39|2024-W40|2024-W41|2024-W42|2024-W43|2024-W44,0.0|1.1|0.0|0.0|0.0|1.0,2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04,4.05|-0.22|2.01|5.18|10.6|21.26|22.51|35.97|13.68|18.61|25.69|24.5,27.77,2024-W52,8,-1.71,-0.36,elevated,"H0_falling,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W44,0.01,False,-0.9,normal,3,2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04,0.8|1.0|1.0|1.3|4.5|3.2|7.5|7.7|18.5|11.9|13.2|29.9,2024-W44
Influenza,Norway,2024-W41|2024-W42|2024-W43|2024-W44|2024-W45|2024-W46,0.0|0.0|0.0|1.0|0.8|1.0,2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06,2.36|5.59|11.01|21.64|22.88|36.38|14.12|19.11|26.17|24.96|15.8|21.03,27.73,2024-W52,8,-1.56,-0.36,elevated,"H0_falling,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W46,0.31,False,-1.0,normal,3,2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06,1.0|1.3|4.5|3.2|7.5|7.7|18.5|11.9|13.2|29.9|25.8|31.8,2024-W46
Influenza,Norway,2024-W43|2024-W44|2024-W45|2024-W46|2024-W47|2024-W48,0.0|1.0|0.8|1.0|1.0|1.3,2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08,7.61|18.29|19.58|33.13|10.88|15.82|22.83|21.6|12.49|17.75|12.77|21.54,27.6,2024-W52,8,-0.5,-0.36,normal,"H0_rising,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W48,-0.27,False,-1.62,normal,2,2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08,4.5|3.2|7.5|7.7|18.5|11.9|13.2|29.9|25.8|31.8|40.2|39.6,2024-W48
